date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-05 14:21:57,JDMahama,,119,250,1469,"#NDCmanifesto #JohnMahama2020 #JMandJane2020pic.twitter.com/d8A5hq31i7",,,#NDCmanifesto #JohnMahama2020 #JMandJane2020pic,1302250620594925568,https://twitter.com/JDMahama/status/1302250620594925568
2020-09-05 08:13:51,JDMahama,,27,107,561,"An interview with John Mahama | Flagbearer of The NDChttps://www.pscp.tv/w/ciHuvzFlVlFZZGJSVkRORUx8MU95S0FnTkJsRHpKYjGjeHX2M46mD0H4c7Nu9xCY7_KJlCs-_Bd_hYTrsQZI …",,,,1302157986639392771,https://twitter.com/JDMahama/status/1302157986639392771
2020-09-05 08:06:36,JDMahama,,14,58,408,"An interview with John Mahama | Flagbearer of The NDChttps://www.pscp.tv/w/ciHtDDFlVlFZZGJSVkRORUx8MU93eFdMRUFiWU1LUew9rsfiE14WRasZj_kZ2w2bQcd9ZT2ch4-JSTh-ckif …",,,,1302156162683473921,https://twitter.com/JDMahama/status/1302156162683473921
2020-09-04 20:15:23,JDMahama,,9,56,319,"John Mahama on the move | Courtesy call on Lambussie Kuoro and his people | Upper West Regionhttps://www.pscp.tv/w/ciFGWzFlVlFZZGJSVkRORUx8MVlxS0RwZERlUVlLVhlqq1lmlq8OWWoOa4B2nyI3eDuKlOFN74ZWgZT3ta2M …",,,,1301977180067430400,https://twitter.com/JDMahama/status/1301977180067430400
2020-09-04 17:15:33,JDMahama,,9,49,305,"John Mahama on the move | Courtesy call on Ullo Naa and his people | Upper West Regionhttps://www.pscp.tv/w/ciEcNTFlVlFZZGJSVkRORUx8MVlwS2tORW9Ocnl4am_GbVCEcJaL6jsRjmEKxh_3UUrLX0-F77Mo5xb4fg9W …",,,,1301931923162374149,https://twitter.com/JDMahama/status/1301931923162374149
2020-09-03 22:15:19,JDMahama,,27,89,452,"John Mahama On The Move | Community Engagement at Tumu| Upper West Regionhttps://www.pscp.tv/w/ciAQ9zFlVlFZZGJSVkRORUx8MU93eFdMRW13bG5LUXx7otYc6haZ118-uiU7DowxGLeiETou4Ri3iOjpeBlu …",,,,1301644972806909952,https://twitter.com/JDMahama/status/1301644972806909952
2020-09-03 18:06:06,JDMahama,,23,65,346,"John Mahama on the move | Community Engagement at Funsi | Upper West Regionhttps://www.pscp.tv/w/ch_WjjFlVlFZZGJSVkRORUx8MWRqR1hvZHptWk5LWsHr7NzUKHcuHK64eaYy_p05xRkqkv9pp5cG8HgnuD_h …",,,,1301582256213901313,https://twitter.com/JDMahama/status/1301582256213901313
2020-09-03 12:33:18,JDMahama,,15,46,248,"Government will be responsible for the cost of training and also provide the trainees with start-up packs at the end of their training. Through the $10bn Big Push, we will aggressively begin the construction of many projects across the country, providing 1m decent jobs. 2/2",,,,1301498503319957504,https://twitter.com/JDMahama/status/1301498503319957504
2020-09-03 12:33:17,JDMahama,,38,122,894,"At the Wa Magazine, we interacted with the owners of garages, shop owners and artisans on how to support & enhance their work. I explained the National Apprentice Programme which will engage 100,000s of young people to undergo skills training with master craftsman. 1/2pic.twitter.com/a3WXPmU735",,,,1301498499515781121,https://twitter.com/JDMahama/status/1301498499515781121
2020-09-03 12:06:49,JDMahama,,10,45,311,"John Mahama on the move | Courtesy call on Manwe Naa & Women Groupshttps://www.pscp.tv/w/ch-CWTFlVlFZZGJSVkRORUx8MWVhS2J6cE1YQVFLWEur_xF5fw9LE4qY2Mr0z9Q75ohTuYa8F8R38jZIrBhQ …",,,,1301491837576704000,https://twitter.com/JDMahama/status/1301491837576704000
2020-09-03 07:44:53,JDMahama,,82,100,653,"My gov’t will not respect Agyapa dealhttps://www.johnmahama.org/news/my-gov-t-will-not-respect-agyapa-deal …",,,,1301425920700559360,https://twitter.com/JDMahama/status/1301425920700559360
2020-09-02 21:49:28,JDMahama,,13,62,377,"John Mahama on the move | Meeting Nadowli Traditional Leadershttps://www.pscp.tv/w/ch65aDFlVlFZZGJSVkRORUx8MVprS3ptVk1tcXZ4du9YsiwbDfAAwy8gaXvfOD9JP6_TnrGX1xprMd87ZExv …",,,,1301276078967676930,https://twitter.com/JDMahama/status/1301276078967676930
2020-09-02 20:18:33,JDMahama,,6,52,324,"John Mahama on the move | Meeting Nadowli Traditional Leadershttps://www.pscp.tv/w/ch6kGTFlVlFZZGJSVkRORUx8MW1ueGVsWHliYldKWOVLxe6133mUlh-nUVVarKi0Kr8rT-rDlSMS1NPlXjTw …",,,,1301253198997381120,https://twitter.com/JDMahama/status/1301253198997381120
2020-09-02 16:36:06,JDMahama,,11,54,304,"John Mahama on the move | Courtesy call on Wechiau Naa & his Sub- Chiefshttps://www.pscp.tv/w/ch5v9jFlVlFZZGJSVkRORUx8MWxEeEx5QXpQTHFLbUf558G6Bsn7OvafRgBWdFeLI8ViZPOMfQ0yF217jTFG …",,,,1301197216611139584,https://twitter.com/JDMahama/status/1301197216611139584
2020-09-02 13:55:30,JDMahama,,11,62,365,"John Mahama on the move | Meeting with small business & garage owners and artisanshttps://www.pscp.tv/w/ch5KUjFlVlFZZGJSVkRORUx8MWt2SnBla3lEekx4RSwllTUDQAVSN_r9GRhodqA3owlDKlMOuJZz2QvE9m1h …",,,,1301156801572872192,https://twitter.com/JDMahama/status/1301156801572872192
