date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-06 18:53:33,NPP_GH,,5,33,321,"Listen to former President John Kufuor at 7pm on @asaaseradio995.pic.twitter.com/Ec2aqeUhY5",,@asaaseradio995,,1302681358590935040,https://twitter.com/NPP_GH/status/1302681358590935040
2020-09-06 18:39:42,NPP_GH,,8,25,104,"@MBawumia advises @JDMahama.pic.twitter.com/eXHHfx5mQq",,@MBawumia @JDMahama,,1302677872579170304,https://twitter.com/NPP_GH/status/1302677872579170304
2020-09-06 12:30:42,NPP_GH,,24,33,314,"days to vote. #4MoreToDoMoreForYoupic.twitter.com/K9xWNjOEyL",,,#4MoreToDoMoreForYoupic,1302585010831138816,https://twitter.com/NPP_GH/status/1302585010831138816
2020-09-05 07:46:36,NPP_GH,,10,32,277,"days to vote. #4MoreToDoMoreForYoupic.twitter.com/K9ryGRyynF",,,#4MoreToDoMoreForYoupic,1302151127912402944,https://twitter.com/NPP_GH/status/1302151127912402944
2020-09-04 09:00:12,NPP_GH,,14,24,187,"days more to vote. #4MoreForNana #4MoreToDoMoreForYoupic.twitter.com/lTYUUxlSNp",,,#4MoreForNana #4MoreToDoMoreForYoupic,1301807262911127552,https://twitter.com/NPP_GH/status/1301807262911127552
2020-09-04 08:12:23,NPP_GH,,1,37,270,"pic.twitter.com/M41VwSKeaf",,,,1301795227754287105,https://twitter.com/NPP_GH/status/1301795227754287105
2020-09-03 15:18:57,NPP_GH,RAkufoAddo,0,14,109,"#RebeccaDeliversResults #TrustRebeccahttps://twitter.com/RAkufoAddo/status/1301441040315015169 …",,,#RebeccaDeliversResults #TrustRebeccahttps,1301540188355731456,https://twitter.com/NPP_GH/status/1301540188355731456
2020-09-03 15:18:15,NPP_GH,RAkufoAddo,3,26,222,"#RebeccaDeliversResults #TrustRebeccahttps://twitter.com/RAkufoAddo/status/1301441363704262656 …",,,#RebeccaDeliversResults #TrustRebeccahttps,1301540012543086594,https://twitter.com/NPP_GH/status/1301540012543086594
2020-09-03 15:17:54,NPP_GH,RAkufoAddo,1,15,103,"#RebeccaDeliversResults #TrustRebeccahttps://twitter.com/rakufoaddo/status/1301442492441726976 …",,,#RebeccaDeliversResults #TrustRebeccahttps,1301539925490311169,https://twitter.com/NPP_GH/status/1301539925490311169
2020-09-02 09:22:17,NPP_GH,,16,71,653,"#LeadershipOfService #4MoreForNanapic.twitter.com/2RI3GSPMP7",,,#LeadershipOfService #4MoreForNanapic,1301088043164749825,https://twitter.com/NPP_GH/status/1301088043164749825
