date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-06 11:00:38,OfficialNDCGh,,12,59,402,"#JMandJane2020pic.twitter.com/ktMJ9wdV6S",,,#JMandJane2020pic,1302562346552954880,https://twitter.com/OfficialNDCGh/status/1302562346552954880
2020-09-05 19:47:08,OfficialNDCGh,,8,74,680,"Lawra #JMandJane2020pic.twitter.com/0zqJcIxZYN",,,#JMandJane2020pic,1302332456885014529,https://twitter.com/OfficialNDCGh/status/1302332456885014529
2020-09-05 15:13:09,OfficialNDCGh,,18,82,520,"Manifesto launch #JMandJane2020pic.twitter.com/DoZrjW0c9o",,,#JMandJane2020pic,1302263504641175552,https://twitter.com/OfficialNDCGh/status/1302263504641175552
2020-09-05 14:06:57,OfficialNDCGh,,9,66,356,"Temperament in leaders 101 with @JDMahama #JMandJane2020pic.twitter.com/kRcCNrN1Oh",,@JDMahama,#JMandJane2020pic,1302246846283251712,https://twitter.com/OfficialNDCGh/status/1302246846283251712
2020-09-05 11:26:13,OfficialNDCGh,,15,88,467,"The Big Push agenda of the NDC has a strong foundation to create jobs for the youth. ~ Professor Naana Jane Opoku-Agyemang @NJOAgyemangpic.twitter.com/CiDJZmK5Ar",,@NJOAgyemangpic,,1302206397216686081,https://twitter.com/OfficialNDCGh/status/1302206397216686081
2020-09-04 23:21:10,OfficialNDCGh,,44,99,585,"He beautifully sums up everything in one commentpic.twitter.com/lxbsetkwKg",,,,1302023930979454980,https://twitter.com/OfficialNDCGh/status/1302023930979454980
2020-09-03 19:13:56,OfficialNDCGh,,5,28,203,"pic.twitter.com/b1eDC4mIZJ",,,,1301599324003012608,https://twitter.com/OfficialNDCGh/status/1301599324003012608
2020-09-02 20:02:29,OfficialNDCGh,,7,30,175,"pic.twitter.com/TQmOpUIUQm",,,,1301249154736414720,https://twitter.com/OfficialNDCGh/status/1301249154736414720
2020-09-02 19:28:48,OfficialNDCGh,,36,68,800,"Flagbearer and leader of @OfficialNDCGh Mr John Dramani Mahama @JDMahama gets a ride in Wa #JMandJane2020pic.twitter.com/HZ5dCA4VdF",,@OfficialNDCGh @JDMahama,#JMandJane2020pic,1301240679033643009,https://twitter.com/OfficialNDCGh/status/1301240679033643009
2020-09-02 11:22:08,OfficialNDCGh,,24,77,693,"Thanks @joyce_bawah. #TimeForChange #JMandJane2020pic.twitter.com/urif4B5eCh",,@joyce_bawah,#TimeForChange #JMandJane2020pic,1301118206682296326,https://twitter.com/OfficialNDCGh/status/1301118206682296326
2020-09-01 19:16:44,OfficialNDCGh,,21,35,313,"pic.twitter.com/gAkiqLEECA",,,,1300875253623775232,https://twitter.com/OfficialNDCGh/status/1300875253623775232
2020-08-31 20:43:04,OfficialNDCGh,,10,67,479,"It’s #JMandJane2020 in Western Northpic.twitter.com/889Q7ykwLY",,,#JMandJane2020,1300534593276215296,https://twitter.com/OfficialNDCGh/status/1300534593276215296
2020-08-31 18:04:40,OfficialNDCGh,,13,38,255,"pic.twitter.com/WkRowsRhWX",,,,1300494730904637440,https://twitter.com/OfficialNDCGh/status/1300494730904637440
2020-08-31 05:45:45,OfficialNDCGh,,10,60,236,"Our promise #JMandJane2020pic.twitter.com/6i4oLES2p3",,,#JMandJane2020pic,1300308775539298305,https://twitter.com/OfficialNDCGh/status/1300308775539298305
2020-08-31 05:40:33,OfficialNDCGh,,81,185,922,"Our promise #JMandJane2020pic.twitter.com/kDTPnETQMR",,,#JMandJane2020pic,1300307468719923200,https://twitter.com/OfficialNDCGh/status/1300307468719923200
2020-08-30 14:33:41,OfficialNDCGh,,27,47,373,"pic.twitter.com/I9aBM5jIyN",,,,1300079245285355521,https://twitter.com/OfficialNDCGh/status/1300079245285355521
2020-08-29 16:00:30,OfficialNDCGh,,41,61,450,"pic.twitter.com/GBDMW3r3kr",,,,1299738706593579009,https://twitter.com/OfficialNDCGh/status/1299738706593579009
2020-08-28 09:50:42,OfficialNDCGh,,22,64,308,"Our flagbearer @JDMahama will legalise and regulate okada when he is elected as president in the December election. This will ensure protection and safety for riders as well as guarantee them decent, regular and sustainable incomehttps://mobile.ghanaweb.com/GhanaHomePage/NewsArchive/Vote-massively-for-politicians-who-care-for-us-Motor-Riders-Association-to-members-1043803?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1598470898 …",,@JDMahama,#Echobox,1299283256618123264,https://twitter.com/OfficialNDCGh/status/1299283256618123264
2020-08-28 07:35:02,OfficialNDCGh,,47,87,599,"John Dramani Mahama @JDMahama’s decision to legalise and regulate “okada” when elected as the next President of Ghana will not just ensure safety and standards, but it will guarantee decent, sustainable and regular income for many young people and their families. #JMandJane2020pic.twitter.com/BkYOWqF9Dp",,@JDMahama,#JMandJane2020pic,1299249113746333696,https://twitter.com/OfficialNDCGh/status/1299249113746333696
2020-08-27 06:43:12,OfficialNDCGh,GHOneTV,14,42,200,"President Akufo-Addo has woefully failed in the fight against corruption. He does not just clear his corrupt appointees before investigations are over, he is on record as being the president who fought Auditor General Domelevo for fighting corruption #BringBackDomelevohttps://twitter.com/GHOneTV/status/1298742784099221506 …",,,#BringBackDomelevohttps,1298873682920722438,https://twitter.com/OfficialNDCGh/status/1298873682920722438
2020-08-26 08:33:21,OfficialNDCGh,,59,134,990,"When the president is running away from a debatepic.twitter.com/731RCzRWJ9",,,,1298539015667363840,https://twitter.com/OfficialNDCGh/status/1298539015667363840
2020-08-25 20:50:22,OfficialNDCGh,,117,138,859,"#JMandJane2020pic.twitter.com/O426PB6rq5",,,#JMandJane2020pic,1298362102084755458,https://twitter.com/OfficialNDCGh/status/1298362102084755458
