date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-06 11:01:10,NJOAgyemang,,14,112,640,"#JMandJane2020pic.twitter.com/yhNjdDgkpd",,,#JMandJane2020pic,1302562482066804736,https://twitter.com/NJOAgyemang/status/1302562482066804736
2020-09-05 16:34:36,NJOAgyemang,,16,129,805,"NDC is opposed to the Public University Bill. #JMandJane2020pic.twitter.com/ZNd0Tpe7kk",,,#JMandJane2020pic,1302284005417660419,https://twitter.com/NJOAgyemang/status/1302284005417660419
2020-09-05 15:13:42,NJOAgyemang,,13,72,450,"#JMandJane2020pic.twitter.com/k9g9e2RvWa",,,#JMandJane2020pic,1302263643904581632,https://twitter.com/NJOAgyemang/status/1302263643904581632
2020-09-05 11:28:32,NJOAgyemang,,16,103,732,"It’s our time as women. We must take advantage of this opportunity #JMandJane2020pic.twitter.com/2aEJR9numW",,,#JMandJane2020pic,1302206981495836672,https://twitter.com/NJOAgyemang/status/1302206981495836672
2020-09-04 21:48:48,NJOAgyemang,,78,224,1428,"My convoy has not been involved in an accident. Kindly ignore the fake news. My team and I are all fine and very thankful to the good people of the Western North Region for their warm and mammoth reception during this four day tour. Victory shall be ours. #JMandJane2020",,,#JMandJane2020,1302000685551161344,https://twitter.com/NJOAgyemang/status/1302000685551161344
2020-09-02 11:20:48,NJOAgyemang,,17,109,671,"At the start of my tour of Western North, I assured the people of Bibiani-Anhwiaso-Bekwai const. of NDC’s commitment to peace and our pursuit of inclusivity to ensure that our national resources are shared equitably for the benefit of all and not a privileged few. #JMandJane2020pic.twitter.com/OLkE3q6aoA",,,#JMandJane2020pic,1301117869858656257,https://twitter.com/NJOAgyemang/status/1301117869858656257
2020-09-02 01:00:02,NJOAgyemang,,3,56,344,"... to ensure that equal opportunities are created for the benefit of all Ghanaians not a privileged few. 2/2pic.twitter.com/Voj6F3Hzj0",,,,1300961647834664961,https://twitter.com/NJOAgyemang/status/1300961647834664961
2020-09-02 00:59:56,NJOAgyemang,,23,112,783,"I was warmly received by the people of Ahwiaso Bibiani in the Ahwiaso Bekwai Constituency on Tuesday at the beginning of my tour of the Western North region. I assured them of NDC’s commitment to peace in the upcoming election and our pursuit of inclusivity ...1/2pic.twitter.com/tUpbOBwUvg",,,,1300961623608373252,https://twitter.com/NJOAgyemang/status/1300961623608373252
2020-09-01 19:34:26,NJOAgyemang,,22,114,697,"#JMandJane2020pic.twitter.com/FmfYtdcgZL",,,#JMandJane2020pic,1300879708041641984,https://twitter.com/NJOAgyemang/status/1300879708041641984
2020-08-31 20:03:26,NJOAgyemang,,33,189,1266,"Western North, please get ready for #JMandJane2020pic.twitter.com/PS8aUKVpJ9",,,#JMandJane2020pic,1300524618340536321,https://twitter.com/NJOAgyemang/status/1300524618340536321
